id,category,question,expected,actual,score,reason,latency,status
14,託送供給・接続対象電力,中国電力ネットワークの約款において、「接続対象電力」は「接続対象電力量」の値を何倍した値と定義されていますか？,中国電力ネットワークの約款の定義に基づき、「接続対象電力」は30分ごとの「接続対象電力量」を2倍した値として算出されます。,「接続対象電力」が「接続対象電力量」の何倍であるかについての具体的な倍率に関する情報は、検索結果には見当たりませんでした。この件については、カスタマーサポートにお問い合わせください。,0.2,期待回答の具体的な倍率に関する情報が欠如しており、意味的に一致していない。,1.98,success
15,託送供給・電圧降下,北海道電力ネットワークの約款において、低圧100V供給時の電線路の電圧降下の許容限度は何Vですか？,北海道電力ネットワークの約款に基づき、低圧100ボルト供給における電線路の電圧降下の許容限度は、6ボルト以内と定められています。,北海道電力ネットワークの約款によると、低圧100V供給時の電線路の電圧降下の許容限度は8Vです。,0.0,主要な情報が異なり、電圧降下の許容限度が期待回答と異なるため。,1.53,success
16,保安責任・低圧,東北電力ネットワークの約款によれば、低圧で電気を供給する場合の「保安の責任」を負う境界点はどこですか？,東北電力ネットワークの約款では、低圧供給における保安上の責任分界点を、事業者の設備と需要家の設備が物理的に接続される「供給地点（接続点）」であると定めています。,東北電力ネットワークの低圧で電気を供給する場合の「保安の責任」を負う境界点について、具体的な情報は見つかりませんでした。一般的には、電力会社は受電地点および供給地点に至るまでの供給設備について保安の責任を負うことが多いですが、詳細な境界点については東北電力ネットワークの公式な約款や契約書をご確認いただくか、直接カスタマーサポートにお問い合わせください。,0.4,予測回答は具体的な境界点を示しておらず、期待回答の核心部分が欠けている。,4.43,success
17,電気料金・力率割引条件,力率割引が適用される時間帯は、毎日何時から何時までと定められていますか？,託送供給等約款における力率計算の対象時間は、土日祝日を問わず、毎日「午前8時から午後10時まで」の間と定められています。,力率割引が適用される具体的な時間帯については、公式ドキュメントからは直接的な情報が見つかりませんでした。詳細については「カスタマーサポートにお問い合わせください」。,0.2,具体的な時間帯の情報が欠如しており、期待回答とは大きく異なる。,1.9,success
18,電気料金・算定式,低圧供給において、基準力率85%を上回る場合の「力率割引」は、基本料金に対して1%につき何パーセントの割引が適用されますか？,低圧供給の力率割引においては、力率が基準となる85パーセントを1パーセント上回るごとに、基本料金の1パーセント分が割引される仕組みとなっています。,低圧供給における「力率割引」についての具体的な割引率に関する情報は、検索結果には含まれていませんでした。詳細な割引率については、カスタマーサポートにお問い合わせください。,0.2,期待回答の具体的な割引率に関する情報が全く含まれておらず、意味的に一致していない。,2.49,success
19,DGP規約・運用,DGP利用規約に基づき、SPが需要家EPに設置したDGC（通信機器）の所有権は、原則として誰に帰属しますか？,サービス・プロバイダー（SP）に配布されたDGCの所有権は、原則として当該サービス・プロバイダー（SP）に帰属します。,DGP利用規約に基づき、SP（サービスプロバイダー）が需要家EPに設置したDGC（通信機器）の所有権についての具体的な情報は、検索したドキュメントには記載されていませんでした。この件については、カスタマーサポートに直接お問い合わせいただくことをお勧めします。,0.2,期待回答の所有権に関する具体的な情報が欠如しており、意味的に一致していない。,2.66,success
20,DGP規約・AI予測,DGP規約第6条第2項において、SPから提供されたデータをDGが「将来提供する本サービス以外のサービス」のために利用することに、SPはあらかじめ同意する必要がありますか？,はい、DGP利用規約では、SPから提供された各種データをデジタルグリッド株式会社が将来的に提供する新規サービスの研究・開発等のために利用することに、SPはあらかじめ同意するものと明記されています。,DGP規約第6条第2項に関する具体的な情報は、現在の検索結果には含まれていませんでした。この件についての詳細は、公式のカスタマーサポートにお問い合わせください。,0.2,予測回答は具体的な情報を提供せず、期待回答の内容と大きく異なる。,2.34,success
21,DGP規約・二次利用禁止,DGP利用規約において、SPがDGから提供された「学習済モデル」を改変して作成してはならないと定められているものを何と呼びますか？,DGP利用規約では、提供された学習済モデルを基にしてSPが独自に作成した改変モデルのことを「派生モデル」と呼び、その作成や二次的な利用を禁止しています。,DGP利用規約において、SPがDGから提供された「学習済モデル」を改変して作成してはならないと定められているものは、具体的には「学習済モデル」そのものを指します。このような改変は禁止されているため、SPはDGの書面による事前の承諾なく、学習済モデルを改変することはできません。詳細については、DGP利用規約をご確認いただくか、カスタマーサポートにお問い合わせください。,0.6,期待回答の「派生モデル」という用語が予測回答には含まれておらず、意味的に完全には一致していない。,5.1,success
22,供給条件・環境価値,DGの「RE100対応電気供給」特約において、活用される環境価値の種類を2つ挙げてください。,デジタルグリッド株式会社のRE100対応プランでは、主に「トラッキング付非化石証書」および「再エネクレジット（J-クレジット等）」の2種類の環境価値が活用されます。,「RE100対応電気供給」特約において活用される環境価値の種類については、公式ドキュメントからの情報が見つかりませんでした。詳細については、カスタマーサポートにお問い合わせください。,0.0,期待回答の内容に対する具体的な情報が全く提供されておらず、意味的に一致していない。,2.26,success
23,託送供給・力率計算,四国電力送配電の約款において、平均力率を算出する際の「無効電力量」の単位は？,四国電力送配電の託送供給等約款では、力率計算に用いられる無効電力量の計量単位を「kvarh（キロバール時）」と定めています。,四国電力送配電の約款において、平均力率を算出する際の「無効電力量」の単位は、約款内で具体的に記載されていませんでした。詳細については、四国電力送配電のカスタマーサポートにお問い合わせください。,0.2,期待回答の具体的な単位「kvarh」が含まれておらず、情報が不正確であるため。,2.25,success
24,DGM操作・メール,DGMの「請求先一覧」画面において、一つの拠点に対して請求書送付先メールアドレスは何件まで「追加」ボタンで登録可能と読み取れますか？（例示に基づく）,DGMのシステムマニュアル上の画像例では、最大で4件までのメールアドレス登録が示されていますが、基本的には追加ボタンによって複数のアドレスを登録することが可能です。,DGMの「請求先一覧」画面において、一つの拠点に対して請求書送付先メールアドレスを追加する際の具体的な件数制限についての情報は、公式ドキュメントからは見つかりませんでした。詳細については「カスタマーサポートにお問い合わせください」。,0.2,期待回答の具体的な件数制限に関する情報が欠如しており、意味的に一致していない。,2.92,success
25,託送供給等約款・北海道電力NW,北海道電力ネットワークの託送供給等約款における、電線路の電圧維持範囲として、標準電圧200Vの場合の許容限度は？,北海道電力ネットワークの約款では、標準電圧200ボルトに対して維持すべき電圧の範囲を、202ボルトの上下20ボルト以内（182ボルトから222ボルトの間）と定めています。,"北海道電力ネットワークの託送供給等約款における、標準電圧200Vの場合の電圧維持範囲の許容限度についての情報は、現在の検索結果には含まれていませんでした。

この情報については、直接カスタマーサポートにお問い合わせいただくことをお勧めします。お手数をおかけしますが、よろしくお願いいたします。",0.0,予測回答は具体的な数値や範囲を示しておらず、期待回答の内容と一致していない。,3.22,success
26,給電指令・制限,一般送配電事業者が系統全体の需給バランス調整のために行う「給電指令」の対象から、原則として除外される供給区分はどれですか？,一般送配電事業者が行う給電指令（発電や需要の制限・中止の指示）の対象からは、原則として低圧による受電または供給の区分が除外されています。,一般送配電事業者が系統全体の需給バランス調整のために行う「給電指令」の対象から、原則として除外される供給区分についての具体的な情報は、公式ドキュメントには記載されていませんでした。この件に関しては、カスタマーサポートに直接お問い合わせいただくことをお勧めします。,0.2,期待回答の具体的な供給区分が示されておらず、内容が異なる。,5.92,success
27,DGMシステム操作・請求,DGMのシステムマニュアルにおいて、需要拠点のCSVデータをダウンロードした際に確認できる「ロス前使用電力量」とは、どのような内訳の合計値として定義されていますか？,ロス前使用電力量とは、送電ロスが加味される前の調達段階の電力量を指し、具体的には「再エネ調達電力量」「卸電力調達電力量」「市場調達電力量」の3つを合計した値として定義されています。,"「ロス前使用電力量」とは、送電ロスが加味されていない、調達した電力量のことを指します。この値は以下の内訳の合計として定義されています：

1. **再エネ調達電力量**：太陽光発電などから調達している電力量（契約がある場合、発電実績入手前は速報値）
2. **卸電力調達電力量**：固定単価で発電家から調達している電力量（契約がある場合）
3. **市場調達電力量**：市場（JEPX）から調達している電力量（すべての実績値が揃うまでは速報値から逆算）

これらの電力量を合計したものが「ロス前使用電力量」となります。この値は、電力が電線を通って需要拠点に送電される間に失われる電力（送電ロス）を考慮する前の数値です。",1.0,期待回答と予測回答は、定義や内訳が一致しており、意味的に同等である。,3.11,success
28,託送供給・工事費,供給地点への供給設備工事において、設計変更により工事長（架空または地中）が何パーセントを超えて変動した場合、工事費負担金の精算が必要になりますか？,設計変更によって工事こう長（工事の長さ）が5パーセントを超えて変動した場合には、あらかじめ支払われた工事費負担金の精算を行う必要があります。,供給地点への供給設備工事において、設計変更により工事長（架空または地中）が変動した場合の工事費負担金の精算については、公式ドキュメントに明確なパーセンテージ基準が記載されていませんでした。具体的な条件や基準については、「カスタマーサポートにお問い合わせください」。,0.2,期待回答の具体的なパーセンテージ基準が欠けており、情報が不十分。,3.5,success
29,2025年12月規約改正・協議制,改正規約第19条の2第2項によれば、協議制の需要家EU（取次）の夏季ピーク時kWを計算する際、使用電力の最大値を何倍した値の平均を用いますか？,協議制の需要家においてピーク時kWを算出する際は、前年度の対象期間における30分ごとの需要電力の最大値（kWh）を特定し、その値を2倍することによってkW値に換算したものの平均値を使用します。,改正規約第19条の2第2項によれば、協議制の需要家EU（取次）の夏季ピーク時kWを計算する際には、対象月が4月から9月のいずれかの月である場合、前年度の7月から9月の各月において使用された30分ごとの需要電力の最大値を2倍した値の平均を用います。,0.9,主要な情報はほぼ一致しているが、期待回答の「対象期間」が明示されていない点がわずかに異なる。,2.41,success
30,託送供給・工事費精算,九州電力送配電の約款において、工事費負担金の精算が必要となる「特別の事情」として例示されているものは？,九州電力送配電の約款では、工事費負担金の確定後に「設計変更によって工事こう長が5%以上変化した場合」などを、精算が必要な特別の事情として挙げています。,"九州電力送配電の約款において、工事費負担金の精算が必要となる「特別の事情」として例示されているものは、以下のような場合です：

- 設計時と払出時との間で材料費の単価に変動が生じた場合（ただし、設計から払出しまでの期間が短い場合を除く）
- その他、特別の事情により工事費負担金に著しい差異が生じた場合

これらの状況において、工事費負担金の精算が行われることがあります。詳細については、カスタマーサポートにお問い合わせください。",0.7,主要な情報は含まれているが、期待回答の具体例と異なる内容が含まれているため。,3.02,success
31,DGP規約・反社条項,DGP利用規約において、契約者が暴力団排除条項に抵促することが判明した場合、DGは催告なしに契約を解除できますか？,はい、規約に定められた反社会的勢力の排除条項に違反したことが判明した場合には、デジタルグリッド株式会社は何ら催告することなく、直ちに契約を解除することができます。,"DGP利用規約において、契約者が暴力団排除条項に抵触することが判明した場合、デジタルグリッド株式会社（DG）は、相手方に対する通知により、DGP利用契約を解除することができます。これは、利用規約第38条に基づいており、通知を行うことで契約を解除することが可能です。

詳細については、カスタマーサポートにお問い合わせください。",0.2,期待回答の内容と異なり、契約解除には通知が必要とされているため、意味的に一致していない。,5.6,success
32,DGMシステム操作・管理,DGMの「請求データのダウンロード」画面において、CSVファイルの作成を依頼してから「1時間以上経過」してもステータスが完了にならない場合、ユーザーはどのような対応をとるべきですか？,CSVファイルの作成依頼から1時間以上経過してもステータスが「実行待ち」または「実行中」から変わらない場合は、発行されたジョブIDを添えてデジタルグリッド株式会社のサポート窓口まで問い合わせる必要があります。,"公式ドキュメントには、CSVファイルの作成依頼後にステータスが「完了」にならない場合の具体的な対応方法は記載されていません。しかし、一般的な対応として、以下の手順をお試しいただくことをお勧めします：

1. **再度確認**: システムに一時的な遅延が発生している可能性がありますので、少し時間を置いてから再度ステータスを確認してください。

2. **インターネット接続の確認**: インターネット接続が安定しているか確認してください。

3. **ブラウザのキャッシュクリア**: ブラウザのキャッシュをクリアしてから再度試してみてください。

4. **サポートへの問い合わせ**: 上記の方法で解決しない場合は、カスタマーサポートにお問い合わせください。具体的な状況を伝えることで、より迅速に対応してもらえる可能性があります。

問題が解決しない場合は、カスタマーサポートにお問い合わせいただくのが最も確実です。",0.6,期待回答の具体的な手順（ジョブIDを添えての問い合わせ）が欠けており、一般的な対応に留まっているため。,8.17,success
33,2025年12月規約改正・容量拠出金,2025年12月1日の規約改正以降、蓄電池を設置している需要家において、容量拠出負担金の算定期間（①）の定義は、「特別措置が適用されてから」から、どのように変更されますか？,蓄電池を設置している需要家の容量拠出負担金の算定期間の定義は、従来の「特別措置が適用されてから」という表現から、「接続供給開始から」という表現へと変更され、データの取得期間が明確化されました。,"2025年12月1日の規約改正において、蓄電池を設置している需要家に関する容量拠出負担金の算定期間の定義が変更されました。以前は「特別措置が適用されてから」とされていましたが、改正後は「計量期間と同様とし、日割計算は行いません」となりました。これにより、契約が1日以上存在する計量期間に係る月の容量拠出負担金の全額を負担することになります。

詳細や不明点については、カスタマーサポートにお問い合わせください。",0.6,主要な情報は含まれているが、期待回答の「接続供給開始から」という表現が予測回答には含まれておらず、意味的に一致していない。,3.73,success
34,託送供給・離島料金,九州電力送配電の約款において、離島等における電気の供給に係る「離島ユニバーサルサービス調整額」の計算に用いられる統計データは？,九州電力エリアの離島調整額を計算する際の燃料価格の基礎データとしては、関税法に基づいて公表される「貿易統計」の輸入品の数量および価額が使用されます。,"「離島ユニバーサルサービス調整額」の計算に用いられる統計データとしては、「離島平均燃料価格」が使用されます。この価格は、離島における燃料価格の平均を基に算定され、離島ユニバーサルサービス調整額の計算に反映されます。具体的な計算方法や詳細については、九州電力送配電の託送供給等約款を参照してください。

不明な点や詳細な情報が必要な場合は、カスタマーサポートにお問い合わせください。",0.6,期待回答の具体的な統計データ（貿易統計の輸入品の数量および価額）が欠けており、情報が異なる。,4.08,success
35,系統連系・FRT,「FRT要件」の正式な日本語名称を、資料に基づいて答えてください。,資料上の系統連系技術要件において、FRT（Fault Ride Through）は「事故時運転継続要件」と正式に呼称されています。,「FRT要件」の正式な日本語名称は、「事故時運転継続要件」です。これは、系統事故による広範囲の瞬時電圧低下や周波数変動等により、発電設備等の一斉解列や出力低下継続等が発生し、系統全体の電圧・周波数維持に大きな影響を与えることを防止するために定められています。,1.0,期待回答と予測回答は、FRTの正式名称が「事故時運転継続要件」である点で一致しており、内容も正確である。,2.21,success
36,契約手続・文書保存,SPが需要家EUとの間で締結した小売供給契約に関する文書について、SPにはどのような注意をもって保存する義務がありますか？,サービス・プロバイダー（SP）は、需要家と交わした小売供給契約に関する全ての書類を、「善良な管理者の注意（善管注意義務）」をもって適切に保管・保存しなければなりません。,"小売供給契約に関する文書の保存義務について、デジタルグリッド株式会社の公式ドキュメントによれば、電気需給契約に関する重要な事項は「供給条件説明書」として交付されます。この書面は、電気事業法に基づき作成されており、必ず内容を確認し、大切に保管するように求められています。

具体的には、以下の点に注意してください：
- 電気料金や供給条件は、別途交付される電気需給契約書および電気需給約款に基づいています。
- 供給条件説明書は契約に関するすべての内容を記載しているわけではないため、詳細は契約書および約款を参照する必要があります。

もしさらに詳細な情報が必要な場合や不明な点がある場合は、カスタマーサポートにお問い合わせください。",0.6,予測回答は保存義務の具体的な内容に触れているが、善管注意義務についての言及が欠けている。,3.9,success
37,DGP規約・定義,「Digital Grid Platform（DGP）利用規約」において、デジタルグリッド株式会社（DG）がDGCまたはDGPに実装することを想定して開発した「AI」は、具体的にどのような目的を持つプログラムまたはアルゴリズムと定義されていますか？,DGP利用規約におけるAIとは、需要家エンドポイント（EP）における需要予測や発電予測等を行うことを目的として、デジタルグリッド株式会社が開発し、DGCまたはDGPに実装することを想定した人工知能のプログラムまたはアルゴリズムのことを指します。,"「Digital Grid Platform（DGP）利用規約」において、デジタルグリッド株式会社（DG）がDGCまたはDGPに実装することを想定して開発した「AI」は、具体的にどのような目的を持つプログラムまたはアルゴリズムと定義されているかについては、該当する具体的な目的や定義は見つかりませんでした。

詳細については、カスタマーサポートにお問い合わせください。",0.2,期待回答の具体的な目的や定義が欠けており、情報が全く異なる。,2.93,success
38,契約解除・違約金,需要者が料金支払期日を過ぎても支払わず、DGが契約を解除した場合、需要者の未払債務はどうなりますか？,デジタルグリッド株式会社が料金滞納を理由に契約を解除した場合でも、需要者の既発生の未払債務は消滅せず、解除後も引き続き支払う義務を負い続けることになります。,"契約が解除された場合、需要者（お客様）は未払いの債務について期限の利益を失い、直ちに全額を一括で支払う必要があります。これは、契約解除によりお客様が負担する一切の債務が即座に支払われるべき状態になることを意味します。また、相手方が債務を負担する場合、債権または債務の種類や弁済期に関わらず、相手方において任意に相殺することが可能です。

詳細や不明な点については、カスタマーサポートにお問い合わせください。",0.9,主要な情報は含まれているが、契約解除後の支払義務の継続についての明確な言及が不足している。,3.29,success
39,託送供給・損失率,東京電力パワーグリッドの託送供給等約款において、低圧供給における「損失率」は何パーセントに設定されていますか？,東京電力パワーグリッドの約款に基づき、低圧による接続供給の損失率は8.5パーセントと設定されています。,東京電力パワーグリッドの託送供給等約款における低圧供給の損失率は、8.5パーセントに設定されています。この情報は、約款に基づく公式なものです。その他の詳細については、カスタマーサポートにお問い合わせください。,1.0,主要な情報が正確に含まれており、意味的に一致している。,5.84,success
40,工事費・臨時,「臨時工事費」が発生するのは、接続送電サービスの利用期間がどのくらい未満の場合ですか？,臨時接続送電サービスを利用し、その利用期間（施設から撤去まで）が1年未満となる場合には、実費相当額の臨時工事費が発生します。,"「臨時工事費」が発生する条件について、具体的な利用期間に関する情報は見つかりませんでした。ただし、臨時接続送電サービスを利用する際に、新たに供給設備を設置する必要がある場合、その設備の工事費に撤去費用を加えた金額から、撤去後の資材の残存価額を差し引いた金額が「臨時工事費」として請求されることがあるようです。

詳細な条件については、カスタマーサポートにお問い合わせください。",0.5,期待回答の具体的な利用期間（1年未満）が欠けており、条件が不明確。,3.27,success
