id,category,question,expected,actual,score,reason,latency,status
11,システム・パスワード忘れ,DGMのログイン画面において、パスワードを忘れたユーザーが利用すべきリンクの名称は？,DGMのログイン入力欄のすぐ下にある、「パスワードをお忘れですか？」というテキストリンクをクリックすることで、パスワード再設定の手続きを行うことができます。,DGMのログイン画面において、パスワードを忘れたユーザーが利用すべきリンクの名称については、公式ドキュメントには具体的なリンク名称の記載がありませんでした。パスワードの再発行については、「デジタルグリッドまでご連絡ください」との案内がありましたので、カスタマーサポートにお問い合わせいただくことをお勧めします。,0.3,期待回答の具体的なリンク名称が欠けており、情報が異なる。,2.56,success
12,電気料金・端数,電気需給約款（低圧）において、料金合計に1円未満の端数が生じた場合、どのように処理されますか？,デジタルグリッド株式会社の低圧電気需給約款に基づき、計算後の最終的な料金合計額に1円未満の端数が発生した場合は、その端数分を切り捨てるものとされています。,電気需給約款（低圧）において、料金合計に1円未満の端数が生じた場合、その端数は切り捨てられます。これは、料金その他の計算における合計金額の単位が1円とされており、1円未満の端数は切り捨てると規定されています。,1.0,主要な情報が含まれており、事実として正しく、意味的にも一致している。,2.51,success
13,DGM操作・ロゴ,DGMのシステムから発行される「お支払予定金額通知書」の左上に表示されるロゴは、どのサービスのロゴですか？,お支払予定金額通知書（PDF等）の左上には、本サービスの名称である「DIGITAL GRID platform」の専用ロゴマークが表示されています。,「お支払予定金額通知書」に関する情報は見つかりましたが、左上に表示されるロゴについての具体的な記載はありませんでした。この件については、カスタマーサポートに直接お問い合わせください。,0.2,期待回答の具体的な情報が欠けており、質問に対する直接的な回答がない。,2.05,success
14,託送供給・接続対象電力,中国電力ネットワークの約款において、「接続対象電力」は「接続対象電力量」の値を何倍した値と定義されていますか？,中国電力ネットワークの約款の定義に基づき、「接続対象電力」は30分ごとの「接続対象電力量」を2倍した値として算出されます。,「接続対象電力」は「接続対象電力量」の値を2倍した値として定義されています。30分ごとに算定されます。詳細については、カスタマーサポートにお問い合わせください。,1.0,主要な情報が正確に含まれており、意味的にも一致している。,2.12,success
15,託送供給・電圧降下,北海道電力ネットワークの約款において、低圧100V供給時の電線路の電圧降下の許容限度は何Vですか？,北海道電力ネットワークの約款に基づき、低圧100ボルト供給における電線路の電圧降下の許容限度は、6ボルト以内と定められています。,北海道電力ネットワークの約款において、低圧100V供給時の電線路の電圧降下の許容限度は8Vです。,0.0,主要な情報が異なり、電圧降下の許容限度が期待回答と異なるため。,1.65,success
16,保安責任・低圧,東北電力ネットワークの約款によれば、低圧で電気を供給する場合の「保安の責任」を負う境界点はどこですか？,東北電力ネットワークの約款では、低圧供給における保安上の責任分界点を、事業者の設備と需要家の設備が物理的に接続される「供給地点（接続点）」であると定めています。,東北電力ネットワークの低圧での電気供給における「保安の責任」を負う境界点については、公式ドキュメントから具体的な情報を見つけることができませんでした。この件については、直接カスタマーサポートにお問い合わせください。,0.2,期待回答の具体的な情報が欠如しており、意味的に一致していない。,4.95,success
17,電気料金・力率割引条件,力率割引が適用される時間帯は、毎日何時から何時までと定められていますか？,託送供給等約款における力率計算の対象時間は、土日祝日を問わず、毎日「午前8時から午後10時まで」の間と定められています。,力率割引が適用される時間帯は、毎日午前8時から午後10時までと定められています。この時間帯における平均力率を基に、力率割引や割増しが適用されます。詳細については、契約している電力会社の約款をご確認いただくか、カスタマーサポートにお問い合わせください。,1.0,主要な情報が正確に含まれており、意味的にも一致している。,2.05,success
18,電気料金・算定式,低圧供給において、基準力率85%を上回る場合の「力率割引」は、基本料金に対して1%につき何パーセントの割引が適用されますか？,低圧供給の力率割引においては、力率が基準となる85パーセントを1パーセント上回るごとに、基本料金の1パーセント分が割引される仕組みとなっています。,低圧供給における「力率割引」についての具体的な割引率に関する情報は、検索結果には見つかりませんでした。詳細については、カスタマーサポートにお問い合わせください。,0.2,期待回答の具体的な割引率に関する情報が全く含まれておらず、意味的に一致していない。,2.34,success
19,DGP規約・運用,DGP利用規約に基づき、SPが需要家EPに設置したDGC（通信機器）の所有権は、原則として誰に帰属しますか？,サービス・プロバイダー（SP）に配布されたDGCの所有権は、原則として当該サービス・プロバイダー（SP）に帰属します。,"DGP利用規約に基づき、SP（サービスプロバイダー）に配布されたDGC（通信機器）の所有権は、原則としてSPに帰属します。ただし、DGCに関する著作権やその他の知的財産権はデジタルグリッド株式会社（DG）または第三者に帰属し、SPには帰属しません。

詳細については、DGP利用規約の第30条をご参照ください。その他のご質問がある場合は、カスタマーサポートにお問い合わせください。",0.7,所有権の帰属については一致しているが、著作権や知的財産権に関する追加情報が含まれており、期待回答の焦点から逸れている。,3.02,success
20,DGP規約・AI予測,DGP規約第6条第2項において、SPから提供されたデータをDGが「将来提供する本サービス以外のサービス」のために利用することに、SPはあらかじめ同意する必要がありますか？,はい、DGP利用規約では、SPから提供された各種データをデジタルグリッド株式会社が将来的に提供する新規サービスの研究・開発等のために利用することに、SPはあらかじめ同意するものと明記されています。,DGP規約第6条第2項に関する情報は、現在の検索結果には含まれていませんでした。詳しい内容については、カスタマーサポートにお問い合わせください。,0.0,予測回答は期待回答の内容に関する情報を提供しておらず、質問に対する答えになっていない。,1.57,success
21,DGP規約・二次利用禁止,DGP利用規約において、SPがDGから提供された「学習済モデル」を改変して作成してはならないと定められているものを何と呼びますか？,DGP利用規約では、提供された学習済モデルを基にしてSPが独自に作成した改変モデルのことを「派生モデル」と呼び、その作成や二次的な利用を禁止しています。,DGP利用規約において、SPがDGから提供された「学習済モデル」を改変して作成してはならないものは「派生モデル」と呼ばれています。具体的には、SPは学習済モデルの派生モデルの作成、蒸留その他の二次的利用を行ってはならないと定められています。,1.0,主要な情報が含まれており、事実として正しく、意味的にも一致している。,2.15,success
22,供給条件・環境価値,DGの「RE100対応電気供給」特約において、活用される環境価値の種類を2つ挙げてください。,デジタルグリッド株式会社のRE100対応プランでは、主に「トラッキング付非化石証書」および「再エネクレジット（J-クレジット等）」の2種類の環境価値が活用されます。,"DGの「RE100対応電気供給」特約において活用される環境価値の種類は以下の2つです。

1. 再生可能エネルギー指定の非化石証書（電源のトラッキング付）
2. 再エネクレジット（J-クレジットのうち再生可能エネルギーのCO2フリーの価値をクレジット化したもの）

これらの環境価値を活用して、契約書に定められたRE比率を実現する電気を供給しています。",1.0,期待回答と予測回答は、環境価値の種類とその説明が一致しており、主要な情報も正確に含まれている。,1.91,success
23,託送供給・力率計算,四国電力送配電の約款において、平均力率を算出する際の「無効電力量」の単位は？,四国電力送配電の託送供給等約款では、力率計算に用いられる無効電力量の計量単位を「kvarh（キロバール時）」と定めています。,四国電力送配電の約款において、平均力率を算出する際の「無効電力量」の単位は「キロバール時」です。また、有効電力量の単位は「キロワット時」とされています。詳細については、四国電力送配電の託送供給等約款をご参照ください。,1.0,主要な情報が正確に含まれており、期待回答と意味的に一致している。,2.69,success
24,DGM操作・メール,DGMの「請求先一覧」画面において、一つの拠点に対して請求書送付先メールアドレスは何件まで「追加」ボタンで登録可能と読み取れますか？（例示に基づく）,DGMのシステムマニュアル上の画像例では、最大で4件までのメールアドレス登録が示されていますが、基本的には追加ボタンによって複数のアドレスを登録することが可能です。,DGMの「請求先一覧」画面において、一つの拠点に対して請求書送付先メールアドレスを追加する際の具体的な件数制限についての情報は、検索結果に含まれていませんでした。詳細については、カスタマーサポートにお問い合わせください。,0.2,期待回答の具体的な件数制限に関する情報が含まれておらず、意味的に一致していない。,2.46,success
25,託送供給等約款・北海道電力NW,北海道電力ネットワークの託送供給等約款における、電線路の電圧維持範囲として、標準電圧200Vの場合の許容限度は？,北海道電力ネットワークの約款では、標準電圧200ボルトに対して維持すべき電圧の範囲を、202ボルトの上下20ボルト以内（182ボルトから222ボルトの間）と定めています。,"北海道電力ネットワークの託送供給等約款における、標準電圧200Vの場合の電圧維持範囲についての具体的な許容限度は、現在のところドキュメントから見つけることができませんでした。

詳細については、直接カスタマーサポートにお問い合わせいただくことをお勧めします。",0.0,期待回答の具体的な数値や範囲が含まれておらず、情報が全く異なる。,4.94,success
26,給電指令・制限,一般送配電事業者が系統全体の需給バランス調整のために行う「給電指令」の対象から、原則として除外される供給区分はどれですか？,一般送配電事業者が行う給電指令（発電や需要の制限・中止の指示）の対象からは、原則として低圧による受電または供給の区分が除外されています。,"一般送配電事業者が系統全体の需給バランス調整のために行う「給電指令」の対象から、原則として除外される供給区分についての具体的な情報は、現在の検索結果からは見つかりませんでした。

この件について詳しい情報が必要な場合は、カスタマーサポートにお問い合わせください。",0.2,予測回答は具体的な供給区分についての情報を提供しておらず、期待回答の内容と一致していない。,8.67,success
27,DGMシステム操作・請求,DGMのシステムマニュアルにおいて、需要拠点のCSVデータをダウンロードした際に確認できる「ロス前使用電力量」とは、どのような内訳の合計値として定義されていますか？,ロス前使用電力量とは、送電ロスが加味される前の調達段階の電力量を指し、具体的には「再エネ調達電力量」「卸電力調達電力量」「市場調達電力量」の3つを合計した値として定義されています。,"「ロス前使用電力量」とは、送電ロスが加味されていない、調達した電力量のことを指します。具体的には以下の内訳の合計値として定義されています：

1. **再エネ調達電力量**：太陽光発電などから調達している電力量
2. **卸電力調達電力量**：固定単価で発電家から調達している電力量
3. **市場調達電力量**：市場（JEPX）から調達している電力量

これらの合計が「ロス前使用電力量」となります。送電ロスは電力が電線を通って需要拠点に送電される間に失われるため、実際に使用された電力量から送電ロス率を用いて計算されます。",1.0,期待回答と予測回答は、定義や内訳が一致しており、意味的に同等である。,3.43,success
28,託送供給・工事費,供給地点への供給設備工事において、設計変更により工事長（架空または地中）が何パーセントを超えて変動した場合、工事費負担金の精算が必要になりますか？,設計変更によって工事こう長（工事の長さ）が5パーセントを超えて変動した場合には、あらかじめ支払われた工事費負担金の精算を行う必要があります。,供給地点への供給設備工事において、設計変更により架空または地中の供給設備の工事長が5パーセントを超えて変動した場合、工事費負担金の精算が必要になります。この場合、工事完成後にすみやかに精算が行われることとなっています。,1.0,主要な情報が正確に含まれており、意味的にも一致している。,2.13,success
29,2025年12月規約改正・協議制,改正規約第19条の2第2項によれば、協議制の需要家EU（取次）の夏季ピーク時kWを計算する際、使用電力の最大値を何倍した値の平均を用いますか？,協議制の需要家においてピーク時kWを算出する際は、前年度の対象期間における30分ごとの需要電力の最大値（kWh）を特定し、その値を2倍することによってkW値に換算したものの平均値を使用します。,改正規約第19条の2第2項によれば、協議制の需要家EU（取次）の夏季ピーク時kWを計算する際には、対象月の前年度夏季ピーク月最大需要電力（対象月の前年度7月から9月の各月において使用された30分ごとの需要電力の最大値）を2倍した値の平均を用います。,1.0,主要な情報が正確に含まれており、意味的にも一致している。,2.31,success
30,託送供給・工事費精算,九州電力送配電の約款において、工事費負担金の精算が必要となる「特別の事情」として例示されているものは？,九州電力送配電の約款では、工事費負担金の確定後に「設計変更によって工事こう長が5%以上変化した場合」などを、精算が必要な特別の事情として挙げています。,"九州電力送配電の約款において、工事費負担金の精算が必要となる「特別の事情」として例示されているものは、以下のような状況です。

1. 設計変更により、電柱や電線、変圧器などの主要材料の規格が変更となる場合、または主要材料の数量の変更が5パーセントを超える場合。
2. 設計時と材料の払出時との間で材料費の単価に変動が生じた場合（設計から払出しまでの期間が短いときを除く）。
3. その他、特別の事情により工事費負担金に著しい差異が生じた場合。

これらの状況が発生した場合、工事費負担金の精算が必要となることがあります。詳細については、カスタマーサポートにお問い合わせください。",0.9,主要な情報は含まれており、具体的な例も挙げられているが、期待回答の内容に比べて若干の詳細が追加されている。,5.3,success
31,DGP規約・反社条項,DGP利用規約において、契約者が暴力団排除条項に抵促することが判明した場合、DGは催告なしに契約を解除できますか？,はい、規約に定められた反社会的勢力の排除条項に違反したことが判明した場合には、デジタルグリッド株式会社は何ら催告することなく、直ちに契約を解除することができます。,DGP利用規約において、契約者が暴力団排除条項に抵触することが判明した場合、デジタルグリッド株式会社（DG）は催告なしに契約を解除することができます。具体的には、契約の第32条において、暴力団排除に関する条項に違反した場合、契約を解除することができると明記されています。,1.0,期待回答と予測回答は内容が一致しており、主要な情報も正確に含まれている。,2.92,success
32,DGMシステム操作・管理,DGMの「請求データのダウンロード」画面において、CSVファイルの作成を依頼してから「1時間以上経過」してもステータスが完了にならない場合、ユーザーはどのような対応をとるべきですか？,CSVファイルの作成依頼から1時間以上経過してもステータスが「実行待ち」または「実行中」から変わらない場合は、発行されたジョブIDを添えてデジタルグリッド株式会社のサポート窓口まで問い合わせる必要があります。,"公式ドキュメントには、請求データのダウンロード画面においてCSVファイルの作成依頼後にステータスが「完了」にならない場合の具体的な対応方法についての記載は見つかりませんでした。

このような場合は、デジタルグリッド株式会社のカスタマーサポートにお問い合わせいただくことをお勧めします。サポートチームが詳細な状況を確認し、適切な対応を案内してくれるでしょう。",0.6,期待回答の具体的な対応方法が欠けており、ジョブIDの言及がないため、情報が不完全。,3.12,success
33,2025年12月規約改正・容量拠出金,2025年12月1日の規約改正以降、蓄電池を設置している需要家において、容量拠出負担金の算定期間（①）の定義は、「特別措置が適用されてから」から、どのように変更されますか？,蓄電池を設置している需要家の容量拠出負担金の算定期間の定義は、従来の「特別措置が適用されてから」という表現から、「接続供給開始から」という表現へと変更され、データの取得期間が明確化されました。,"2025年12月1日の規約改正により、蓄電池を設置している需要家に関する容量拠出負担金の算定期間の定義が変更されました。改正後の定義では、容量拠出負担金の算定期間は「計量期間と同様」とされ、日割計算は行われません。このため、契約が1日以上存在する計量期間に係る月は、その月全体の容量拠出負担金を負担することになります。

詳細については、カスタマーサポートにお問い合わせください。",0.4,期待回答の内容と異なり、算定期間の定義が「接続供給開始から」ではなく「計量期間と同様」とされており、重要な情報が異なっている。,4.17,success
34,託送供給・離島料金,九州電力送配電の約款において、離島等における電気の供給に係る「離島ユニバーサルサービス調整額」の計算に用いられる統計データは？,九州電力エリアの離島調整額を計算する際の燃料価格の基礎データとしては、関税法に基づいて公表される「貿易統計」の輸入品の数量および価額が使用されます。,"離島ユニバーサルサービス調整額の計算に用いられる統計データは、貿易統計の輸入品の数量および価額の値に基づいています。具体的には、以下のように計算されます。

- 離島平均燃料価格は、原油換算値1キロリットル当たりの価格で算定されます。
- 使用されるデータは、各離島平均燃料価格算定期間における1キロリットル当たりの平均原油価格です。

この計算において、平均燃料価格は100円単位で計算され、100円未満の端数は10円の位で四捨五入されます。

詳細については、カスタマーサポートにお問い合わせください。",0.9,主要な情報は含まれており、計算方法の詳細も提供されているが、期待回答の「関税法に基づいて公表される」という部分が明示されていない。,3.22,success
35,系統連系・FRT,「FRT要件」の正式な日本語名称を、資料に基づいて答えてください。,資料上の系統連系技術要件において、FRT（Fault Ride Through）は「事故時運転継続要件」と正式に呼称されています。,「FRT要件」の正式な日本語名称は、「事故時運転継続要件」です。これは、系統事故による広範囲の瞬時電圧低下や周波数変動などにより、発電設備等の一斉解列や出力低下継続などが発生し、系統全体の電圧・周波数維持に大きな影響を与えることを防止するために定められた要件です。,1.0,期待回答と予測回答は、FRTの正式名称が「事故時運転継続要件」である点で一致しており、内容も正確である。,2.36,success
36,契約手続・文書保存,SPが需要家EUとの間で締結した小売供給契約に関する文書について、SPにはどのような注意をもって保存する義務がありますか？,サービス・プロバイダー（SP）は、需要家と交わした小売供給契約に関する全ての書類を、「善良な管理者の注意（善管注意義務）」をもって適切に保管・保存しなければなりません。,"SP（サービスプロバイダー）は、小売供給契約に関する文書を保存する際、以下の義務があります。

1. **保存義務**: 小売供給契約に関する文書（契約の申込書や供給条件の説明文書など）を、善良な管理者の注意をもって保存しなければなりません。

2. **提出義務**: デジタルグリッド（DG）の求めに応じて、これらの文書の原本またはその写しを提出する必要があります。

これらの義務は、契約の適正な管理と情報の透明性を確保するために重要です。詳細については、カスタマーサポートにお問い合わせください。",0.9,主要な情報は含まれており、善良な管理者の注意義務についても言及されているが、提出義務の部分は期待回答には含まれていない。,3.64,success
37,DGP規約・定義,「Digital Grid Platform（DGP）利用規約」において、デジタルグリッド株式会社（DG）がDGCまたはDGPに実装することを想定して開発した「AI」は、具体的にどのような目的を持つプログラムまたはアルゴリズムと定義されていますか？,DGP利用規約におけるAIとは、需要家エンドポイント（EP）における需要予測や発電予測等を行うことを目的として、デジタルグリッド株式会社が開発し、DGCまたはDGPに実装することを想定した人工知能のプログラムまたはアルゴリズムのことを指します。,"「Digital Grid Platform（DGP）利用規約」において、デジタルグリッド株式会社（DG）がDGCまたはDGPに実装することを想定して開発した「AI」は、需要予測に基づく電力取引のマッチングサービスを提供するためのプログラムまたはアルゴリズムと定義されています。具体的には、再生可能エネルギーの取引や長期および短期の電力取引のマッチングサービスに利用されます。

詳細については、カスタマーサポートにお問い合わせください。",0.6,主要な目的が異なり、具体的な用途に関する情報が追加されているが、期待回答の内容とは一致していない。,3.91,success
38,契約解除・違約金,需要者が料金支払期日を過ぎても支払わず、DGが契約を解除した場合、需要者の未払債務はどうなりますか？,デジタルグリッド株式会社が料金滞納を理由に契約を解除した場合でも、需要者の既発生の未払債務は消滅せず、解除後も引き続き支払う義務を負い続けることになります。,"契約が解除された場合、需要者（お客さま）は、デジタルグリッド株式会社に対して未払いの債務を直ちに全額一括で支払う義務があります。契約解除に伴い、需要者は期限の利益を失い、未払いの債務をすぐに支払わなければなりません。

この情報は、電気需給約款に基づいており、契約解除の際には、デジタルグリッドが解除日の15日前までに解除日を予告し、電気供給が止まることや、最終保障供給を申し込む方法について書面で説明することが義務付けられています。

詳細については、カスタマーサポートにお問い合わせください。",0.7,主要な情報は含まれているが、未払債務の消滅についての言及が不足している。,4.13,success
39,託送供給・損失率,東京電力パワーグリッドの託送供給等約款において、低圧供給における「損失率」は何パーセントに設定されていますか？,東京電力パワーグリッドの約款に基づき、低圧による接続供給の損失率は8.5パーセントと設定されています。,東京電力パワーグリッドの託送供給等約款において、低圧供給における損失率は8.1パーセントに設定されています。,0.5,主要な情報は含まれているが、損失率の数値が異なり事実として正しくない。,1.67,success
40,工事費・臨時,「臨時工事費」が発生するのは、接続送電サービスの利用期間がどのくらい未満の場合ですか？,臨時接続送電サービスを利用し、その利用期間（施設から撤去まで）が1年未満となる場合には、実費相当額の臨時工事費が発生します。,「臨時工事費」が発生するのは、接続送電サービスの利用期間が1年未満の場合です。この場合、臨時工事費が申し受けられることが約款に記載されています。詳細については、カスタマーサポートにお問い合わせください。,0.9,主要な情報は含まれており、意味的にもほぼ一致しているが、具体的な条件（撤去までの期間）や実費相当額の記載が不足している。,3.8,success
