question,answer,category
請求書に記載されている引落日が銀行休業日です。引落日はいつになりますか？,銀行休業日の場合、翌営業日がお引き落とし日となります。,請求
口座振替以外の支払い方法はありますか？,お支払いは口座振替のみ対応しています。,請求
使用量が大きく変動する予定があります。どうすれば良いですか？,変動予定の使用量を需要予測に活用するため、サポートまでご連絡ください。,電力
使用電力量(ロス前ロス後)の違いは何ですか？,使用電力量(ロス後)は実際に使用した電力量を示します。,電力
使用電力量はどれを見ればよいですか？,請求書に記載されている使用電力量(ロス後)が実際の使用量です。,電力
使用電力量(ロス後)はどの請求項目に使用されますか？,プラットフォーム利用手数料等の請求項目に使用されます。,請求
託送料金が増額になりました。なぜですか？,託送料金単価が変更された可能性があります。,請求
託送料金の単価は何を参照していますか？,各エリアの送配電事業者が公表する単価を参照しています。,請求
JEPX取引代行はどのように計算されていますか？,30分毎の使用電力量に対してエリア単価を掛け算して算出されます。,請求
再エネ賦課金の単価は何を参照していますか？,再生可能エネルギー発電促進賦課金単価を参照しています。,請求
付帯契約の単価は何を参照していますか？,締結した電気需給契約の別紙を参照してください。,請求
口座残高が不足していたため引き落としができませんでした。どうすればよいでしょうか,弊社から引き落とし結果の確認ができ次第、振込手続きのご案内をさせていただきます。,請求
契約地点の検針日を知りたい,該当拠点の請求書に記載されている計算期間の開始日が検針日になります。,請求
請求書が確認できる日、配信日を教えてください,"弊社からお知らせいたしますので、ご確認ください。詳細はDGMのお知らせ欄をご参照ください。",請求
請求金額が以前と比べて上がっているので理由を知りたい,弊社へ該当する拠点をご連絡いただけましたら、確認させていただきます。,請求
請求書に容量拠出負担金という項目があるがこれはなにか,"容量拠出金とは、2024年度から徴収が始まっており、日本の供給力を担保するための制度になります。",請求
容量拠出負担金はいつまでも請求されるのか,"容量拠出金は、制度が継続する限り、ご使用月分が発生いたします。本制度は次年度以降も継続する予定ですので、2025年度も容量拠出金をご請求させていただきます。",請求
JEPX取引代行の単価と数量をかけても合計金額が合わない。託送料金も計算が合わない。,"JEPX取引代行の単価につきましては、30分毎の電力量とそのコマの単価を掛けて算出しており、請求書では小数点第2位までしか記載ができない関係で、単価×数量をかけても合致いたしません。託送料金は、力率割引を加味して計算しております。",請求
解約したのに容量拠出負担金の請求がきた,"弊社では、容量拠出負担金の算定期間は計量期間と同様とし、日割り計算は行いません。また、容量拠出金が2カ月遅れて当社へ請求が来るため、需要家様への請求も2カ月遅れての請求になります。",請求
引き落とし口座の変更をしたい,"引落口座の登録が必要です。1. DGM 請求先口座の登録・変更リクエストより口座情報をご登録ください。2. 作成された預金口座振替依頼書を印刷し、銀行届出印を押して以下へご郵送ください。〒135-0045 東京都江東区古石場2-11-7 1639号室 デジタルグリッド株式会社 プラットフォーム事業部 カスタマーサポートチーム宛。詳細はシステムマニュアルをご参照ください。",請求
請求書のメールは届いているが該当の請求がない,"請求書が配信されていない／DGMのシステムから確認できない需要拠点に関しましては、請求額計算時に計算に必要なデータが送配電事業者から入手できていないため、翌月に請求書が発行されることになります点、ご了承ください。",請求
速報請求とはなにか,"デジタルグリッドが提供するDGMのシステム内の「請求」の下に「速報請求一覧」というメニューがあります。速報請求一覧では、対象となる拠点の請求データが入手できた後に次回請求予定の金額が確認できるものになります。",システム
口座振替の引落はどのような名義・表記になるか,"振替名義は「ﾋﾞﾘﾝｸﾞｼｽﾃﾑｼﾝﾀｸｸﾞﾁ」となります。表記(EDI情報)は MHF)DGPです。",請求
昼間使用電力は何時から何時までですか？,"昼間時間は、平日祝日を問わず、午前8時から午後10時までになります。",電力
政府補助金とは？,"高圧および低圧の電力使用者に対して付与される補助金です（特別高圧は対象外）。補助金額は使用電力量（ロス後）に基づいて計算されます。補助金額に適用される単価は、その対象期間によって異なりますので、デジタルグリッド株式会社のHPに掲載されるニュースのプレスリリースよりご確認ください。",請求
容量拠出負担金額とは？,"日本の供給力を担保するための制度で、2024年度から徴収が開始されています。計算方法は以下の通りです：各拠点の季節ピーク需要電力（kWp）に基づき、エリアごとの容量拠出金相当額を按分。季節ピーク需要電力が計算できない場合は契約電力（kW）が使用されます。",請求
請求スケジュールを教えて,DGMのお知らせ欄にある「請求書配信予定日のご案内」をご覧ください。,請求
デジタルグリッドが需要家に対して電気料金の請求を行い、需要家が口座振込を行う場合の口座振込期限について、教えてください。,"電気料金のお支払いを口座振込で行う場合は原則、口座引落の引落日と同日が振込期限になります。ただし、個別契約によって、振込期限を別途設定している場合もありますので、詳細は締結済の契約書をご参照ください。",請求
託送料金を計算するための期間と、電力の使用した期間は同じですか？,"託送料金の計算期間と使用電力量の計算期間は同じになります。尚、託送料金計算期間内で単価変更があった場合等、期間案分されて料金計算されることはありますが、計算対象となる期間は使用電力量の計算期間と同じです。",請求
デジタルグリッドに請求される容量拠出金について、請求元の機関名を教えてください,"容量拠出負担金の請求元の機関名は、「電力広域的運営推進機関（でんりょくこういきてきうんえいすいしんきかん）」という、日本の電気事業の広域的運営を推進することを目的として設立された認可法人になります。",請求
契約電力はどうやって決まりますか？,"実量制（500kW未満）の場合は、過去12ヶ月における各月の最大デマンド値の最大値が契約容量になります。協議制（500kW以上）の場合は、対象となる拠点の設備容量等を考慮し、事前に送配電事業者と合意した値になります。",契約
政府補助金っていつ適用になってますか？,"政府補助金は、随時、国から案内があった際に適用になります。政府補助金の適用がある際には、デジタルグリッドのHPのニュースのプレスリリースよりご案内させていただいておりますので、そちらをご参照ください。",請求
託送基本料金の計算方法が知りたいです,"託送基本料金の計算方法は以下になります：契約容量(kW）× 基本料金単価 × [ 185% - 力率 ]。基本料金単価は各エリアの送配電事業者が公表する単価が適用されます。",請求
契約容量が超過した時ってどういう料金が請求されますか？,"500 kW未満の実量制の場合、契約容量超過金はかかりませんが、契約容量の是正が求められます。500 kW以上の協議制の場合、超過したkWに対して、通常の託送基本料金の1.5倍が契約容量超過金として請求されます。",請求
請求書が届きません。なぜですか？,"デジタルグリッドからお送りする請求書は、各エリアの一般送配電事業者が公開するデータをもとに作成しております。そのため、一般送配電事業者からのデータ公開が間に合わない場合は請求書は発行されません。請求書の発行を行えない場合は2カ月遅れで請求書を発行することになります。",請求
引落日はいつですか,毎月26日。ただし26日が休祝日の場合は、翌営業日がお引き落とし日となる。,請求
電気料金を確認したいんだけどどこを見ればいいの？,"デジタルグリッドが提供するDGMのシステム内の「請求」の下に「請求書一覧」というメニューがあります。こちらにて、発行済の請求書がご確認いただけます。尚、DGMのシステム内の「請求」の下には「速報請求一覧」というメニューがあり、対象となる拠点の請求データが入手できた後に次回請求予定の金額が確認できる機能も兼ねそろえておりますので、ご活用ください。",システム
速報値が請求額に適用されますか？,「速報値」は請求額計算に使用されません。,請求
来年度の見積がほしいです,"デジタルグリッドの営業担当にてご支援させていただきます。お手数ですが弊社営業担当までお問合せください。営業担当がご不明な場合には、カスタマーサポートまでお問合せください。",一般
来年の電気料金はどれぐらいになるか,"来年の電気料金についてのご相談は、パートナー企業様もしくは弊社営業担当までお問合せください。営業担当がご不明な場合には、カスタマーサポートまでお問合せください。",一般
口座振替はいつから始まりますか？,"お申し込み後、新しい口座からの請求が開始されるまでに、1〜2カ月程度かかります。お申込み内容に不備がある場合は、再申込みが必要となり、さらに時間を要する場合があります。",請求
請求先名義や社名の変更方法は？,請求先名義や社名はお客様では変更ができません。カスタマーサポートまでお問合せください。,請求
速報値とは？,速報値とは、一般送配電事業者から30分以内に提供される自動検針データです。リアルタイムに近いタイミングで使用量を把握するための仮の値です。,電力
確定報とは？,対象期間における最終的に確定した使用電力の実績値をさします。,電力
速報請求とは何か？,"デジタルグリッドが提供するDGMのシステム内の「請求」の下に「速報請求一覧」というメニューがあります。速報請求一覧では、対象となる拠点の確定報や実量制の場合は契約容量算定帳票が入手できた時点で次回請求予定の金額が確認できるものです。",システム
領収書は発行してもらえますか？,領収書の発行は行っておりません。,請求
2025年の請求書の配信予定日は？,"2025年発行予定日一覧：1月 2025年1月10日、2月 2025年2月7日、3月 2025年3月7日、4月 2025年4月7日、5月 2025年5月9日、6月 2025年6月6日、7月 2025年7月7日、8月 2025年8月7日、9月 2025年9月5日、10月 2025年10月7日、11月 2025年11月10日、12月 2025年12月5日",請求
契約電力・最大電力・力率等はどこで確認できますか？,契約電力等は請求書で確認が可能です。請求書ダウンロード機能でcsvファイルをダウンロードすることも可能です。,請求
2026年の請求書の配信予定日は？,"2026年発行予定日一覧：2026年1月9日、2026年2月6日、2026年3月6日、2026年4月7日、2026年5月12日、2026年6月5日、2026年7月7日、2026年8月7日、2026年9月7日、2026年10月7日、2026年11月9日、2026年12月7日",請求
代理店報酬通知書はいつ発行されますか,代理店報酬通知書の発行日については、カスタマーサポート（customer_support@digitalgrid.com）までお問い合わせください。,一般
口座振替の登録をしたい,"引落口座の登録が必要です。1. DGM 請求先口座の登録・変更リクエストより口座情報をご登録ください。2. 作成された預金口座振替依頼書を印刷し、銀行届出印を押して以下へご郵送ください。〒135-0045 東京都江東区古石場2-11-7 1639号室 デジタルグリッド株式会社 プラットフォーム事業部 カスタマーサポートチーム宛。詳細はシステムマニュアルをご参照ください。",請求
